1998,Privately held,23
1999,Privately held,21
2000,Privately held,18
2001,Privately held,25
1994,Privately held,61
1995,Privately held,27
1996,Privately held,24
1994,Privately held,125
1995,Privately held,45
1996,Privately held,34
1999,Privately held,40
1994,Privately held,87
1995,Privately held,58
1996,Privately held,58
1997,Privately held,111
1998,Privately held,101
1999,Privately held,113
2000,Privately held,131
2001,Privately held,429
2002,Privately held,388
2003,Privately held,227
2004,Privately held,153
2005,Privately held,262
2006,Privately held,249
2007,Privately held,265
2008,Privately held,305
2009,Privately held,339
2010,Privately held,410
2011,Privately held,403
2012,Privately held,381
2013,Privately held,228
2014,Privately held,335
2015,Privately held,479
